timestamp,date,Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с","Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1600279200,"Среда, 16 сентября
18:00 (UTC)",,,,,,,,,,,20,746,,,17.4,,63.0,,,восточный,0,,,1
1600290000,"Среда, 16 сентября
21:00 (UTC)",,,,,,,,,,,20,746,,,15.7,,63.9,,,северо-восточный,0,,,1
1600300800,"Четверг, 17 сентября
00:00 (UTC)",,,,,,,,,,,20,745,,,13.5,,68.4,,,восточный,0,,,1
1600311600,"Четверг, 17 сентября
03:00 (UTC)",,,,0,,,0,,,,20,745,,,12.5,,74.5,11.9,,восточный,0,,,2
1600322400,"Четверг, 17 сентября
06:00 (UTC)",,,,,,,,,,,20,745,,,19.2,,52.0,,,восточный,0,,,3
1600333200,"Четверг, 17 сентября
09:00 (UTC)",,,,,,,,,,,20,744,,,26.6,,30.6,,,северо-восточный,0,,,3
1600344000,"Четверг, 17 сентября
12:00 (UTC)",,,,,,,,,,,20,743,,,28.9,,23.5,,,северо-восточный,0,,,3
1600354800,"Четверг, 17 сентября
15:00 (UTC)",,,,0,,,,,,,20,741,,,25.8,,27.2,,,северо-восточный,0,,29.1,2
1600365600,"Четверг, 17 сентября
18:00 (UTC)",,,,,,,,,,,20,741,,,17.0,,57.7,,,восточный,0,,,1
1600376400,"Четверг, 17 сентября
21:00 (UTC)",,,,,,,,,,,20,741,,,17.7,,65.2,,,юго-восточный,0,,,2
1600387200,"Пятница, 18 сентября
00:00 (UTC)",,,,,,,,,,,20,740,,,17.3,,66.5,,,юго-восточный,0,,,3
1600398000,"Пятница, 18 сентября
03:00 (UTC)",,,,0,,,0,,,,20,740,,,15.7,,77.1,14.3,,юго-восточный,6,,,1
1600408800,"Пятница, 18 сентября
06:00 (UTC)",,,,,,,,,,,20,740,,,23.9,,60.5,,,юго-западный,1,,,1
1600419600,"Пятница, 18 сентября
09:00 (UTC)",,,,,,,,,,,20,740,,,27.1,,41.7,,,западный,6,,,4
