timestamp,date,Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Ливневый дождь,"Осадки за 24 часа, мм",Ливневой дождь слабый,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C","Пыль, песок или брызги, поднятые ветром",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1597341600,"Четверг, 13 августа
18:00 (UTC)",,,,,,,,,,,10,699,,,17.5,,70.6,,,,северный,4,,,2.0
1597352400,"Четверг, 13 августа
21:00 (UTC)",,,,,,,,,,,10,700,,,15.4,,87.3,,,,,7,,,0.0
1597363200,"Пятница, 14 августа
00:00 (UTC)",,,,,0,,,,0,,50,701,,,14.6,,89.0,14.4,,,восточный,9,,,1.0
1597374000,"Пятница, 14 августа
03:00 (UTC)",,,,,,,,,,,50,701,,,20.0,,64.0,,,,юго-восточный,7,,,1.0
1597384800,"Пятница, 14 августа
06:00 (UTC)",,,,,,,,,,,50,700,,,23.8,,46.3,,,,северо-восточный,7,,,1.0
1597395600,"Пятница, 14 августа
09:00 (UTC)",,,,,,,,,,,50,699,,,27.1,,35.1,,,,восточный,7,,,1.0
1597406400,"Пятница, 14 августа
12:00 (UTC)",,,,,0,,,,,,50,699,,,24.8,,46.9,,,,восточный,9,,27.3,1.0
1597417200,"Пятница, 14 августа
15:00 (UTC)",,,,,,,,,,,10,700,,,18.3,,70.3,,,,,2,,,0.0
1597428000,"Пятница, 14 августа
18:00 (UTC)",,,,,,,,,,,10,701,,,15.4,,80.7,,,,восточный,1,,,1.0
1597438800,"Пятница, 14 августа
21:00 (UTC)",,,,,,,,,,,10,701,,,13.2,,89.4,,,,,0,,,0.0
1597449600,"Суббота, 15 августа
00:00 (UTC)",,,,,0,,,,0,,50,702,,,13.4,,88.3,12.0,,,восточный,9,,,1.0
1597460400,"Суббота, 15 августа
03:00 (UTC)",,,,,,,,,,,50,702,,,20.9,,56.0,,,,северо-восточный,7,,,1.0
1597471200,"Суббота, 15 августа
06:00 (UTC)",,,,,,,,,,,50,700,,,25.1,,40.4,,,,северный,7,,,1.0
1597482000,"Суббота, 15 августа
09:00 (UTC)",,,,,,,,,,,50,699,,,27.0,,32.2,,,,северо-восточный,9,,,1.0
1597492800,"Суббота, 15 августа
12:00 (UTC)",,,,,0,,,,,,50,699,,,25.6,,42.1,,,,западный,10,,27.6,1.0
1597503600,"Суббота, 15 августа
15:00 (UTC)",,,,,,,,,,,10,699,,,20.8,,59.0,,,,,7,,,0.0
1597514400,"Суббота, 15 августа
18:00 (UTC)",,,,,,,,,,,10,699,,,18.8,,61.7,,,,юго-западный,9,,,2.0
1597525200,"Суббота, 15 августа
21:00 (UTC)",,,,,,,,,,,10,699,,,17.4,,71.5,,,,,9,,,0.0
1597536000,"Воскресенье, 16 августа
00:00 (UTC)",,,,,0.5,,,True,0.5,,50,699,,,18.1,,70.2,17.0,,,западный,10,,,1.0
1597546800,"Воскресенье, 16 августа
03:00 (UTC)",,,,,,,,,,,50,700,,,20.4,,69.3,,,True,западный,9,,,2.0
1597557600,"Воскресенье, 16 августа
06:00 (UTC)",,,,,,,,,,,50,700,,,25.1,,49.5,,,True,юго-западный,9,,,3.0
1597568400,"Воскресенье, 16 августа
09:00 (UTC)",,,,,,,,,,,50,699,,,26.8,,48.7,,,,юго-западный,9,,,2.0
1597579200,"Воскресенье, 16 августа
12:00 (UTC)",,,,,менее 0.1,,,,,,50,699,,True,23.5,,54.5,,,,южный,9,,28.0,4.0
1597590000,"Воскресенье, 16 августа
15:00 (UTC)",,True,,,,,,,,,10,702,,,18.0,,92.7,,,,юго-восточный,10,,,2.0
1597600800,"Воскресенье, 16 августа
18:00 (UTC)",,,,,,,,,,True,10,703,,,16.6,,98.7,,,,,10,,,0.0
1597611600,"Воскресенье, 16 августа
21:00 (UTC)",,,,,,,,,,,10,703,,,16.1,,92.6,,,True,западный,9,,,1.0
1597622400,"Понедельник, 17 августа
00:00 (UTC)",,,,,9,,,,9,,50,703,,,16.3,,91.4,15.6,,True,,9,,,0.0
1597633200,"Понедельник, 17 августа
03:00 (UTC)",,,,,,,,,,,50,703,,,20.3,,72.5,,,,юго-восточный,9,,,2.0
1597644000,"Понедельник, 17 августа
06:00 (UTC)",,,,,,,,,,,50,703,,,23.6,,55.2,,,,восточный,7,,,2.0
1597654800,"Понедельник, 17 августа
09:00 (UTC)",,,,,,,,,,,50,702,,,24.8,,50.4,,,,юго-западный,9,,,1.0
1597665600,"Понедельник, 17 августа
12:00 (UTC)",,,,,0,,,,,,50,701,,,24.4,,52.6,,,,северный,7,,25.9,1.0
1597676400,"Понедельник, 17 августа
15:00 (UTC)",,,,,,,,,,,10,701,,,19.0,,78.1,,,,,5,,,0.0
1597687200,"Понедельник, 17 августа
18:00 (UTC)",True,,,,,,,,,,10,701,,,16.6,,82.4,,,,,5,,,0.0
1597698000,"Понедельник, 17 августа
21:00 (UTC)",True,,,,,,,,,,10,701,,,14.6,,89.0,,,,,6,,,0.0
1597708800,"Вторник, 18 августа
00:00 (UTC)",,,,,0,,,,0,,50,701,,,15.0,,87.8,14.1,,,восточный,9,,,1.0
1597719600,"Вторник, 18 августа
03:00 (UTC)",,,,,,,,,,,50,702,,,20.3,,66.7,,,,восточный,6,,,1.0
1597730400,"Вторник, 18 августа
06:00 (UTC)",,,,,,,,,,,50,701,,,25.2,,50.2,,,,юго-восточный,6,,,2.0
1597741200,"Вторник, 18 августа
09:00 (UTC)",,,,,,,,,,,50,699,,,27.1,,41.7,,,,северный,5,,,1.0
1597752000,"Вторник, 18 августа
12:00 (UTC)",,,,,0,,,,,,50,699,,,26.2,,42.3,,,,юго-восточный,4,,25.7,1.0
1597762800,"Вторник, 18 августа
15:00 (UTC)",,,,,,,,,,,10,700,,,18.0,,68.9,,,,,2,,,0.0
1597773600,"Вторник, 18 августа
18:00 (UTC)",,,,,,,,,,,10,700,,,17.1,,78.8,,,,восточный,0,,,1.0
1597784400,"Вторник, 18 августа
21:00 (UTC)",,,,,,,,,,,10,700,,,14.6,,86.7,,,,,0,,,0.0
1597795200,"Среда, 19 августа
00:00 (UTC)",,,,,0,,,,0,,50,699,,,15.7,,81.8,14.4,,,северо-восточный,7,,,1.0
1597806000,"Среда, 19 августа
03:00 (UTC)",,,,,,,,,,,50,699,,,20.8,,59.0,,,,северо-восточный,9,,,1.0
1597816800,"Среда, 19 августа
06:00 (UTC)",,,13.0,,,,,,,True,20,700,,,18.0,,85.3,,,,северо-западный,10,,,2.0
1597827600,"Среда, 19 августа
09:00 (UTC)",,,,,,,,,,True,50,702,,,17.5,,88.1,,,,северо-западный,10,,,1.0
1597838400,"Среда, 19 августа
12:00 (UTC)",,,,,2,,,,,,50,702,,,19.4,,67.8,,,True,северный,5,,23.7,1.0
1597849200,"Среда, 19 августа
15:00 (UTC)",,,,,,,,,,,10,704,,,13.7,,89.5,,,,,2,,,0.0
1597860000,"Среда, 19 августа
18:00 (UTC)",,,,,,,,,,,10,705,,,12.4,,93.0,,,,,6,,,0.0
1597870800,"Среда, 19 августа
21:00 (UTC)",,,,,,,,,,,10,706,,,11.1,,96.1,,,,северный,1,,,1.0
1597881600,"Четверг, 20 августа
00:00 (UTC)",,,,,0,,,,2,,50,706,,,11.9,,93.6,9.9,,,,7,,,0.0
1597892400,"Четверг, 20 августа
03:00 (UTC)",,,,,,,,,,,50,706,,,17.8,,67.0,,,True,восточный,6,,,1.0
1597903200,"Четверг, 20 августа
06:00 (UTC)",,,,,,,,,,,50,705,,,22.1,,55.2,,,True,юго-восточный,6,,,1.0
1597914000,"Четверг, 20 августа
09:00 (UTC)",,,,,,,,,,,50,703,,,24.0,,41.1,,,,,9,,,0.0
1597924800,"Четверг, 20 августа
12:00 (UTC)",,,,,менее 0.1,,,,,,50,703,,,24.0,,41.1,,,,,9,,24.8,0.0
1597935600,"Четверг, 20 августа
15:00 (UTC)",,,,,,,,,,,10,703,,,18.2,,69.3,,,,северный,7,,,1.0
1597946400,"Четверг, 20 августа
18:00 (UTC)",,,,,,,,,,,10,703,,,17.8,,77.4,,,,,6,,,0.0
1597957200,"Четверг, 20 августа
21:00 (UTC)",,,,,,,,,,,10,703,,,15.9,,77.1,,,,,5,,,0.0
1597968000,"Пятница, 21 августа
00:00 (UTC)",,,,,0.3,,,,0.3,,50,703,,,15.4,,85.0,15.4,,True,,9,,,0.0
1597978800,"Пятница, 21 августа
03:00 (UTC)",,,,,,,,,,,50,703,,,18.8,,70.8,,,,западный,7,,,1.0
1597989600,"Пятница, 21 августа
06:00 (UTC)",,,,,,,,,,,50,701,,,23.4,,44.4,,,,юго-западный,6,,,2.0
1598000400,"Пятница, 21 августа
09:00 (UTC)",,,,,,,,,,,50,700,,,26.3,,32.2,,,,южный,6,,,1.0
1598011200,"Пятница, 21 августа
12:00 (UTC)",,,,,0,,,,,,50,700,,,23.6,,42.7,,,,юго-восточный,9,,26.9,1.0
1598022000,"Пятница, 21 августа
15:00 (UTC)",,,,,,,,,,,10,702,,,16.2,,78.2,,,True,северный,5,,,2.0
1598032800,"Пятница, 21 августа
18:00 (UTC)",,,,,,,,,,,10,702,,,15.2,,70.1,,,True,северо-западный,9,,,1.0
1598043600,"Пятница, 21 августа
21:00 (UTC)",,,,,,,,,,,10,702,,,15.0,,73.0,,,,северный,9,,,2.0
1598054400,"Суббота, 22 августа
00:00 (UTC)",,,,,3,,,,3,,50,702,,,13.4,,81.5,12.6,,,юго-восточный,9,,,1.0
1598065200,"Суббота, 22 августа
03:00 (UTC)",,,,,,,,,,,50,702,,,18.5,,59.6,,,,северный,9,,,1.0
1598076000,"Суббота, 22 августа
06:00 (UTC)",,,,,,,,,,,4,702,True,,14.9,,91.3,,,,юго-западный,10,,,3.0
1598086800,"Суббота, 22 августа
09:00 (UTC)",,,,,,,,,,,50,703,,,16.5,,75.2,,,True,западный,9,,,1.0
1598097600,"Суббота, 22 августа
12:00 (UTC)",,,,,12,,,,,,50,703,,,17.2,,63.8,,,True,,6,,19.2,0.0
1598108400,"Суббота, 22 августа
15:00 (UTC)",,,,,,,,,,,10,704,,,13.0,,82.5,,,,южный,5,,,1.0
1598119200,"Суббота, 22 августа
18:00 (UTC)",,,,,,,,,,,10,705,,,9.8,,91.0,,,,,2,,,0.0
1598130000,"Суббота, 22 августа
21:00 (UTC)",,,,,,,,,,,10,705,,,8.6,,94.7,,,,северо-восточный,2,,,1.0
