timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневый дождь со снегом,Ливневый дождь,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %","Минимальная температура, °C",Поземок (слабый или умеренный),Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),"Осадки за 12 часов, мм","Высота снежного покрова, см","Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Снег умеренный непрерывный,"Температура воздуха, °C","Гроза, дождь слабый",Снег сильный непрерывный,Снег слабый непрерывный,Количество облаков не изменилось,Балл общей облачности,Снег умеренный с перерывами,Ливневой снег слабый,Туман (с отложением изморози). Небо не видно
1590958800,"Воскресенье, 31 мая
21:00 (UTC)",,6.0,,,,,,,,91.8,,,юго-западный,,,5.0,,,,,,True,,4,737,,,12.5,,,,,9.0,,,
1590969600,"Понедельник, 1 июня
00:00 (UTC)",,7.0,,,,,,,,93.6,,,юго-западный,,,5.0,,,,,,True,,4,737,,,11.5,,,,,9.0,,,
1590980400,"Понедельник, 1 июня
03:00 (UTC)",,7.0,,,,,,,,91.7,11.0,,юго-западный,,,5.0,,0,,7,,True,,4,738,,,11.7,,,,,7.0,,,
1590991200,"Понедельник, 1 июня
06:00 (UTC)",,8.0,,,,,,,,76.5,,,юго-западный,,,5.0,,,,,,,,10,739,,,15.4,,,,,9.0,,,
1591002000,"Понедельник, 1 июня
09:00 (UTC)",,8.0,,,,,,,,81.4,,,западный,,,5.0,,,,,,,,10,740,,,16.7,,,,,7.0,,,
1591012800,"Понедельник, 1 июня
12:00 (UTC)",True,7.0,,,,,,,,83.8,,,северный,,,4.0,,,,,,,,4,741,,,14.1,,,,,10.0,,,
1591023600,"Понедельник, 1 июня
15:00 (UTC)",,8.0,,,,,,,,87.7,,,восточный,,16.9,4.0,,1,,,,,,10,742,,,14.0,,,,True,7.0,,,
1591034400,"Понедельник, 1 июня
18:00 (UTC)",,7.0,,,,,,,,95.5,,,северо-восточный,,,4.0,,,,,,True,,4,743,,,11.6,,,,,7.0,,,
1591045200,"Понедельник, 1 июня
21:00 (UTC)",,8.0,,,,,,,,93.6,,,восточный,,,4.0,,,,,,True,,4,743,,,11.7,,,,,10.0,,,
1591056000,"Вторник, 2 июня
00:00 (UTC)",,8.0,,,,,,,,94.8,,,восточный,,,6.0,,,,,,True,,4,742,,,11.4,,,,,10.0,,,
1591066800,"Вторник, 2 июня
03:00 (UTC)",,9.0,,,,,,,,95.5,11.1,,восточный,,,4.0,,0,,1,,True,,4,743,,,11.7,,,,,10.0,,,
1591077600,"Вторник, 2 июня
06:00 (UTC)",,9.0,True,,,,,,,92.4,,,восточный,,,7.0,,,,,,,,4,743,,,12.1,,,,,10.0,,,
1591088400,"Вторник, 2 июня
09:00 (UTC)",,9.0,True,,,,,,,91.8,,,юго-восточный,,,6.0,,,,,,,,4,744,,,12.4,,,,,10.0,,,
1591099200,"Вторник, 2 июня
12:00 (UTC)",,8.0,,,,,,,,91.8,,,восточный,,,5.0,,,,,,True,,4,744,,,12.7,,,,,10.0,,,
1591110000,"Вторник, 2 июня
15:00 (UTC)",,8.0,,,,,,,,91.8,,,восточный,,13.3,6.0,,0.3,,,,True,,4,744,,,13.0,,,,,10.0,,,
1591120800,"Вторник, 2 июня
18:00 (UTC)",,8.0,,,,,,,,93.6,,,восточный,,,4.0,,,,,,True,,4,744,,,12.2,,,,,10.0,,,
1591131600,"Вторник, 2 июня
21:00 (UTC)",,6.0,,,,,,,,95.5,,,восточный,,,4.0,,,,,,True,,4,743,,,12.4,,,,,10.0,,,
1591142400,"Среда, 3 июня
00:00 (UTC)",,7.0,,,,,,,,95.5,,,восточный,,,4.0,,,,,,True,,4,742,,,13.0,,,,,10.0,,,
1591153200,"Среда, 3 июня
03:00 (UTC)",,7.0,,,,,,,,91.8,12.1,,восточный,,,4.0,,0,,0.3,,True,,4,742,,,13.2,,,,,10.0,,,
1591164000,"Среда, 3 июня
06:00 (UTC)",,9.0,,,,,,,,82.9,,,восточный,,,5.0,,,,,,,,10,741,,,15.8,,,,,10.0,,,
1591174800,"Среда, 3 июня
09:00 (UTC)",,9.0,,,,,,,,72.8,,,восточный,,,5.0,,,,,,,,10,741,,,19.3,,,,,7.0,,,
1591185600,"Среда, 3 июня
12:00 (UTC)",,11.0,,,,,,,,79.3,,,восточный,,,6.0,,,,,,,,10,741,,,16.7,,,,,10.0,,,
1591196400,"Среда, 3 июня
15:00 (UTC)",,10.0,,,,,,,,84.0,,,восточный,,20.8,6.0,,менее 0.1,,,,,,10,740,,,15.7,,,,True,10.0,,,
1591207200,"Среда, 3 июня
18:00 (UTC)",,10.0,,,,,,,,89.0,,,восточный,,,6.0,,,,,,True,,4,739,,,15.3,,,,,10.0,,,
1591218000,"Среда, 3 июня
21:00 (UTC)",,10.0,,,,,,,,85.1,,,восточный,,,6.0,,,,,True,,,4,738,,,16.0,,,,,10.0,,,
1591228800,"Четверг, 4 июня
00:00 (UTC)",,11.0,,,,,,,,80.3,,,юго-восточный,,,7.0,,,,,,,,10,737,,,16.3,,,,True,10.0,,,
1591239600,"Четверг, 4 июня
03:00 (UTC)",,10.0,,,,,,,,77.3,15.1,,юго-восточный,,,6.0,,0.5,,0.5,,,,10,737,,,16.9,,,,,6.0,,,
1591250400,"Четверг, 4 июня
06:00 (UTC)",,11.0,,,,,,,,71.1,,,юго-восточный,,,6.0,,,,,,,,10,736,,,20.3,,,,,10.0,,,
1591261200,"Четверг, 4 июня
09:00 (UTC)",,9.0,,,,,,,,78.1,,,юго-западный,,,4.0,,,,,,,,10,738,,,18.7,,,,,10.0,,,
1591272000,"Четверг, 4 июня
12:00 (UTC)",,8.0,,,,,,,,81.7,,,западный,,,6.0,,,,,,,,10,739,,,18.7,,,,True,10.0,,,
1591282800,"Четверг, 4 июня
15:00 (UTC)",,8.0,,,,,,,,78.2,,,юго-западный,,21.1,3.0,,менее 0.1,,,,,,10,739,,,19.5,,,,,7.0,,,
1591293600,"Четверг, 4 июня
18:00 (UTC)",,6.0,,,,,,,,84.9,,,юго-западный,,,4.0,,,,,,,,10,741,,,14.0,,,,,2.0,,,
1591304400,"Четверг, 4 июня
21:00 (UTC)",,5.0,,,,,,,,90.6,,,юго-восточный,,,1.0,,,,,,True,,4,742,,,12.4,,,,,4.0,,,
1591315200,"Пятница, 5 июня
00:00 (UTC)",,4.0,,,,,,,,96.1,,,юго-восточный,,,1.0,,,,,,True,,4,743,,,11.1,,,,,4.0,,,
1591326000,"Пятница, 5 июня
03:00 (UTC)",,3.0,,,,,,,,89.0,10.3,,юго-восточный,,,2.0,,0,,менее 0.1,,True,,4,744,,,15.3,,,,,7.0,,,
1591336800,"Пятница, 5 июня
06:00 (UTC)",,5.0,,,,,,,,69.8,,,юго-восточный,,,4.0,,,,,,,,10,744,,,20.6,,,,,6.0,,,
1591347600,"Пятница, 5 июня
09:00 (UTC)",True,11.0,,,,,,,,66.5,,,юго-западный,,,7.0,,,,,,,,4,744,,,19.4,,,,,10.0,,,
1591358400,"Пятница, 5 июня
12:00 (UTC)",,10.0,,,,,,,,90.9,,,южный,,,2.0,,,,,,True,,4,745,,,16.6,,,,,10.0,,,
1591369200,"Пятница, 5 июня
15:00 (UTC)",,9.0,,,,,,,,89.0,,,южный,,23.2,3.0,,4,,,,True,,4,744,,,15.7,,,,,10.0,,,
1591380000,"Пятница, 5 июня
18:00 (UTC)",,3.0,,,,,,,,94.9,,,южный,,,3.0,,,,,,True,,4,744,,,13.4,,,,,10.0,,,
1591390800,"Пятница, 5 июня
21:00 (UTC)",,5.0,,,,,,,,96.8,,,восточный,,,2.0,,,,,,True,,4,744,,,12.6,,,,,6.0,,,
1591401600,"Суббота, 6 июня
00:00 (UTC)",,4.0,,,,,,,,97.4,,,юго-западный,,,2.0,,,,,,True,,2,744,,,12.9,,,,,10.0,,,
1591412400,"Суббота, 6 июня
03:00 (UTC)",,4.0,,,,,,,,97.4,12.1,,южный,,,2.0,,0,,4,,True,,4,744,,,13.0,,,,,10.0,,,
1591423200,"Суббота, 6 июня
06:00 (UTC)",,4.0,,,,,,,,85.8,,,юго-восточный,,,2.0,,,,,,True,,4,744,,,17.1,,,,,7.0,,,
